S.No,Job No.,Customer,Job Date,Invoice No.,Invoice Date,Invoice Amount (SGD),GST (SGD),Total Amount (SGD),GST Type
1,CEL-2602-5000,Walk-in,2026-06-29,No Invoice Yet,-,0,0,0,No Charge
2,CEL-2602-5001,Walk-in,2026-06-29,No Invoice Yet,-,0,0,0,No Charge
3,CEL-2604-5002,Walk-in,2026-04-23,No Invoice Yet,-,0,0,0,No Charge
4,CEL-2604-5003,J. KEART ALLIANCES PTE. LTD.,2026-04-23,INV-2604-5003,2026-04-23,68.6,6.17,74.77,Standard GST (9%)
5,CEL-2604-5004,Walk-in,2026-04-23,No Invoice Yet,-,0,0,0,No Charge
6,CEL-2604-5005,J. KEART ALLIANCES PTE. LTD.,2026-04-23,No Invoice Yet,-,0,0,0,No Charge
7,CEL-2604-5006,J. KEART ALLIANCES PTE. LTD.,2026-04-23,No Invoice Yet,-,0,0,0,No Charge
8,CEL-2604-6051,J. KEART ALLIANCES PTE. LTD.,2026-04-24,No Invoice Yet,-,23200,2088,25288,Standard GST (9%)
9,CEL-2604-6052,GEOLUTIONS PTE LTD,2026-04-27,No Invoice Yet,-,800,72,872,Standard GST (9%)
10,CEL-2604-6053,Rota-Mach Electrical Services Pte Ltd,2026-04-28,No Invoice Yet,-,4400,377.982,4577.782,Standard GST (9%)
11,CEL-2604-6054,POWERHOUSE CONTROLS PTE LTD,2026-04-28,INV-2604-6054,2026-04-28,590,53.1,643.1,Standard GST (9%)
12,CEL-2604-6055,Rota-Mach Electrical Services Pte Ltd,2026-04-28,INV-2604-6055,2026-04-10,550,49.5,599.5,Standard GST (9%)
13,CEL-2604-6056,Rota-Mach Electrical Services Pte Ltd,2026-04-28,INV-2604-6056,2026-04-28,35,3.15,38.15,Standard GST (9%)
14,CEL-2604-6057,TRANS WAVE MARINE SERVICES PTE LTD,2026-04-29,INV-2604-6057,2026-04-29,4100,0,4100,0% GST
15,CEL-2604-6058,J. KEART ALLIANCES PTE. LTD.,2026-04-29,INV-2604-6058,2026-04-29,1880,169.2,2049.2,Standard GST (9%)
16,CEL-2604-6060,Trans Global Trading and Marine Services LLC,2026-04-30,INV-2604-6060,2026-04-30,1250,0,1250,0% GST
